img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_8621875AmericaFrontccc.jpg,Dungeon Travelers 2: The Royal Library & The Monster Seal,PSV,role-playing,Atlus,Aqua Plus,7.3,0.12000000000000001,0.03,0.05,0.02,0.02,2015-08-18,
/games/boxart/full_1025614AmericaFrontccc.png,The Snack World: Trejarers Gold,NS,role-playing,Level 5,Level 5,7.3,0.12,0.0,0.12,0.0,0.0,2020-02-14,2019-12-09
/games/boxart/3825713ccc.jpg,Lost Magic,DS,role-playing,Ubisoft,Taito Corporation,7.3,0.12,0.09,0.02,0.0,0.01,2006-04-25,
/games/boxart/full_5194066AmericaFrontccc.jpg,Phantasy Star Universe,X360,role-playing,Sega,Sonic Team,6.6,0.10999999999999999,0.09,0.0,0.01,0.01,2006-10-25,
/games/boxart/full_92938AmericaFrontccc.jpg,MIND?0,PSV,role-playing,Aksys Games,Acquire,7.3,0.11,0.05,0.04,0.0,0.02,2014-05-27,2018-11-16
/games/boxart/full_ben-10-galactic-racing_556AmericaFront.jpg,Ben 10 Galactic Racing,WII,racing,D3 Publisher,Monkey Bar Games,7.3,0.12,0.08,0.0,0.03,0.01,2011-10-18,
/games/boxart/full_blood-drive_7AmericaFront.jpg,Blood Drive,X360,racing,Activision,Activision,7.3,0.10999999999999999,0.09,0.0,0.01,0.01,2010-10-26,
/games/boxart/full_6473886AmericaFrontccc.jpg,Dead by Daylight,XONE,action,505 Games,Behaviour Interactive Inc.,7.3,0.12,0.08,0.0,0.03,0.01,2017-06-20,2019-02-13
/games/boxart/full_9526607AmericaFrontccc.jpg,Darksiders III,XONE,action,Thq Nordic,Gunfire Games,7.3,0.12,0.11,0.0,0.0,0.01,2018-11-27,2018-12-19
/games/boxart/full_4748185AmericaFrontccc.jpg,Terraria,3DS,action,505 Games,Re-Logic,7.3,0.12,0.0,0.06,0.06,0.0,2015-12-10,2018-03-19
/games/boxart/full_563898AmericaFrontccc.jpg,X2: Wolverine's Revenge,GC,action,Activision,Genepool,6.0,0.11,0.09,0.0,0.02,0.0,2003-04-14,
/games/boxart/6532345ccc.gif,Godzilla Unleashed: Double Smash,DS,action,Atari,Santa Cruz Games,7.3,0.12,0.11,0.0,0.0,0.01,2007-11-20,
/games/boxart/full_macross-triangle-frontier_846JapanFront.jpg,Macross Triangle Frontier,PSP,action,Namco Bandai,Artdink,7.3,0.12,0.0,0.12,0.0,0.0,2011-02-03,
/games/boxart/full_3059191AmericaFrontccc.jpg,Criticom,PS,fighting,Victory Lap Games,Kronos Digital Entertainment,7.3,0.13,0.07,0.0,0.05,0.01,1996-03-01,
/games/boxart/full_8580484JapanFrontccc.jpg,Fire ProWrestling S: 6Men Scramble,SAT,fighting,Human Entertainment,Human Entertainment,7.3,0.12,0.0,0.12,0.0,0.0,1996-12-27,
/games/boxart/full_5690612AmericaFrontccc.jpg,Tenchu: Shadow Assassins,PSP,action,Ubisoft,From Software,7.5,0.12,0.03,0.05,0.03,0.01,2009-03-24,
/games/boxart/full_jaws-ultimate-predator_55AmericaFront.jpg,Jaws: Ultimate Predator,3DS,action,Majesco,N-Space,4.0,0.12,0.11,0.0,0.0,0.01,2011-12-01,
/games/boxart/full_1876955AmericaFrontccc.jpg,Castlevania: Curse of Darkness,XB,action,Konami,Konami,7.2,0.12,0.09,0.0,0.03,0.0,2005-11-01,
/games/boxart/7314967ccc.jpg,Curious George,PS2,action,Namco,Monkey Bar Games,7.3,0.13,0.06,0.0,0.05,0.02,2006-02-01,
/games/boxart/full_9545436AmericaFrontccc.jpg,The Surge,XONE,action,Focus Home Interactive,Deck13 Interactive,7.3,0.12000000000000001,0.07,0.0,0.04,0.01,2017-05-16,2018-01-06
/games/boxart/full_mysims-skyheroes_45AmericaFront.jpg,MySims SkyHeroes,PS3,action,Electronic Arts,The Sims Studio,7.3,0.13,0.09,0.0,0.02,0.02,2010-09-28,
/games/boxart/full_7628905AmericaFrontccc.jpg,Assassin's Creed Chronicles,PSV,action,Ubisoft,Climax Studios,7.3,0.12000000000000001,0.01,0.02,0.07,0.02,2016-04-05,2018-07-03
/games/boxart/1358919ccc.jpg,EA Replay,PSP,action,Electronic Arts,Unknown,5.0,0.12000000000000001,0.1,0.0,0.0,0.02,2006-11-14,
/games/boxart/full_2000279AmericaFrontccc.jpg,Solitaire & Mahjong,WII,puzzle,Crave Entertainment,Crave Entertainment,7.3,0.12,0.11,0.0,0.0,0.01,2009-02-17,
/games/boxart/full_5437417AmericaFrontccc.jpg,Peggle: Dual Shot,DS,puzzle,Popcap Games,Q Entertainment,7.3,0.12,0.11,0.0,0.0,0.01,2009-02-27,
/games/boxart/full_7042009AmericaFrontccc.jpg,Disney's PK: Out of the Shadows,PS2,platform,Ubisoft,Ubisoft,7.3,0.13,0.06,0.0,0.05,0.02,2002-11-01,
/games/boxart/full_5921075AmericaFrontccc.jpg,Shantae: Half-Genie Hero,NS,platform,Xseed Games,Wayforward Technologies,7.3,0.11999999999999998,0.09,0.01,0.01,0.01,2018-05-08,2018-12-30
